Account ID,Account name,Instance ID,Finding reason(s),Instance name,Instance type,OS,Region,Total running hours,RI hours,On-Demand hours,Savings Plans hours,CPU utilization,Memory utilization,Disk utilization,EBS read (Ops/s),EBS write (Ops/s),EBS read throughput (KiB/s),EBS write throughput (KiB/s),Disk read (Ops/s),Disk write (Ops/s),Disk read throughput (KiB/s),Disk write throughput (KiB/s),Network in (KiB/s),Network out (KiB/s),Network packets in (Packets/s),Network packets out (Packets/s),Recommended action,Recommended instance type 1,Recommended instance type 1 Estimated savings,Recommended instance type 1 Projected CPU utilization,Recommended instance type 1 Projected memory utilization,Recommended instance type 1 Projected disk utilization,Recommended instance type 1 Platform difference(s),Recommended instance type 2,Recommended instance type 2 Estimated savings,Recommended instance type 2 Projected CPU utilization,Recommended instance type 2 Projected memory utilization,Recommended instance type 2 Projected disk utilization,Recommended instance type 2 Platform difference(s),Recommended instance type 3,Recommended instance type 3 Estimated savings,Recommended instance type 3 Projected CPU utilization,Recommended instance type 3 Projected memory utilization,Recommended instance type 3 Projected disk utilization,Recommended instance type 3 Platform difference(s)
XXXXXXXXXXXX,WA Cost Labs,i-010011,,Name-010011,t3a.small,Linux/UNIX,South America (Sao Paulo),336,0,336,0,2.299961667,,,0.01,1.096666667,0.038146973,34.25598145,,,,,29.36782932,29.3668004,11.01727778,11.01594444,Modify,t3a.micro,9.865585,2.299961667,,,,t3a.nano,14.76571,2.299961667,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010012,,Name-010012,t2.small,Linux/UNIX,Asia Pacific (Sydney),336,0,336,0,2.711864407,,,0,0.86,0,13.10984375,,,,,0.086325684,0.083729112,0.090944444,0.095611111,Modify,t2.micro,9.53891,2.711864407,,,,t2.nano,14.308365,2.711864407,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010013,,Name-010013,t2.small,Linux/UNIX,Asia Pacific (Sydney),336,0,336,0,2.833333333,,,0,0.843333333,0,13.07169596,,,,,0.138439128,0.135041775,0.140722222,0.146277778,Modify,t2.micro,9.53891,2.833333333,,,,t2.nano,14.308365,2.833333333,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010014,,Name-010014,t2.small,Linux/UNIX,Asia Pacific (Sydney),336,0,336,0,11.72413793,,,0.036666667,12.4,0.139873047,107.523597,,,,,0.043900825,0.036095106,0.119166667,0.119555556,Modify,t2.micro,9.53891,11.72413793,,,,t2.nano,14.308365,11.72413793,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010015,,Name-010015,t2.small,Linux/UNIX,Asia Pacific (Sydney),336,1.25,334.75,0,2.881355932,,,0,0.823333333,0,12.94453776,,,,,0.24046224,0.426119249,1.091722222,0.989388889,Modify,t2.micro,9.503422984,2.881355932,,,,t2.nano,14.25513448,2.881355932,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010016,,Name-010016,t2.small,Linux/UNIX,Asia Pacific (Sydney),336,2.75,333.25,0,2.950819672,,,0,0.843333333,0,13.05897786,,,,,0.240645074,0.413994141,1.131333333,1.030333333,Modify,t2.micro,9.460838564,2.950819672,,,,t2.nano,14.19125785,2.950819672,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010017,,Name-010017,t3.medium,Linux/UNIX,US West (Oregon),336,0,228.5830033,107.4169967,21.6,,,0.003333333,7.23,0.012715658,595.4233805,,,,,8.676983507,4.712259115,1.470388889,0.4335,Modify,t3.small,9.245148416,21.6,,,,t3.nano,16.17900973,21.6,,,,t3.micro,13.86772262,21.6,,,
XXXXXXXXXXXX,WA Cost Labs,i-010018,,Name-010018,t3.medium,Linux/UNIX,US West (Oregon),336,0,228,108,20.9,,,6.673333333,9.236666667,619.3161011,419.8582967,,,,,8.740792101,4.728532172,2.076833333,0.912166667,Modify,t3.small,9.221568571,20.9,,,,t3.micro,13.83235286,20.9,,,,t3.nano,16.137745,20.9,,,
XXXXXXXXXXXX,WA Cost Labs,i-010019,,Name-010019,t3.medium,Linux/UNIX,US East (N. Virginia),336,0,223.7069188,112.2930812,12.45874862,,,1.253333333,6.4,34.63745117,259.1196696,,,,,5.267710232,0.338078613,1.012666667,0.470166667,Modify,t3.small,9.047932858,12.45874862,,,,t3.nano,15.8338825,12.45874862,,,,t3.micro,13.57189929,12.45874862,,,
XXXXXXXXXXXX,WA Cost Labs,i-010020,,Name-010020,t2.small,Linux/UNIX,Asia Pacific (Sydney),336,24.25,311.75,0,2.833333333,,,0,0.806666667,0,12.89367513,,,,,0.337389865,0.35720025,0.900222222,0.697388889,Modify,t2.micro,8.850461882,2.833333333,,,,t2.nano,13.27569282,2.833333333,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010021,,Name-010021,t2.micro,Linux/UNIX,EU (Frankfurt),336,0,336,0,0.847457627,,,0,1.486666667,0,44.79249023,,,,,0.000536567,0.002322591,0.0025,0.018611111,Terminate,,8.75489,,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010022,,Name-010022,t2.small,Linux/UNIX,EU (Frankfurt),336,0,336,0,2.542372881,,,0,0.996666667,0,13.51674154,,,,,0.001772461,0.001344401,0.005388889,0.0135,Modify,t2.micro,8.75489,2.542372881,,,,t2.nano,13.132335,2.542372881,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010023,,Name-010023,t2.micro,Linux/UNIX,EU (Ireland),336,0,336,0,0.833333333,,,0.01,1.003333333,0.317890625,35.91855469,,,,,,,,,Terminate,,8.23221,,,,,,,,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010024,,Name-010024,t3.medium,Linux/UNIX,US East (N. Virginia),336,0,202.0236719,133.9763281,2.733196673,,,0,4.57,0,381.4824422,,,,,8.890797797,0.056428494,1.234944444,0.068055556,Modify,t3.small,8.170943614,2.733196673,,,,t3.micro,12.25641542,2.733196673,,,,t3.nano,14.29915132,2.733196673,,,
XXXXXXXXXXXX,WA Cost Labs,i-010025,,Name-010025,t2.small,Linux/UNIX,EU (Ireland),336,0,336,0,3.833333333,,,0,0.786666667,0,12.02901042,,,,,1.66167372,1.614430339,1.591388889,1.577111111,Modify,t2.micro,8.10154,3.833333333,,,,t2.nano,12.217645,3.833333333,,,,,,,,,
XXXXXXXXXXXX,WA Cost Labs,i-010026,,Name-010026,t3.medium,Linux/UNIX,US East (N. Virginia),336,0,199.4357409,136.5642591,25.83247225,,,21.74,66.70666667,180.4860433,1352.920532,,,,,67.98759304,0.5327162,39.01583333,3.8995,Modify,t3.small,8.066273512,25.83247225,,,,t3.nano,14.11597865,25.83247225,,,,t3.micro,12.09941027,25.83247225,,,
