Recommendation Date,Owner Account,Instance Type,Size Flexible Recommendation,Max hourly usage in Historical Period,Min hourly usage in Historical Period,Average hourly usage in Historical Period,Max hourly normalized unit usage in Historical Period,Min hourly normalized unit usage in Historical Period,Average hourly normalized unit usage in Historical Period,Projected RI Utilization,Location,OS,Tenancy,Offering Class,Term,Payment Option,Upfront Cost,Recurring Monthly Cost,Recommended Instance Quantity Purchase,Estimated Monthly Savings,Break Even Months
2018-11-14T15:24:54Z,8.36E+11,t2.xlarge,TRUE,4,4,4,,,,100,US East (N. Virginia),Linux/UNIX,Shared,Standard,1,All_Upfront,2620,218.416,4,245.3626667,6.386098693
2018-11-14T15:24:54Z,8.36E+11,c3.4xlarge,FALSE,1,1,1,,,,100,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,3474,624.88,1,477,6.376396427
2018-11-14T15:24:54Z,8.36E+11,c3.xlarge,FALSE,2,2,2,,,,100,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,1736,312.44,2,239.3133333,8.236183255
2018-11-14T15:24:54Z,8.36E+11,c4.large,FALSE,9,0,1.168302945,,,,95.15251392,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,748,89.79,1,35.37108333,7.739428191
2018-11-14T15:24:54Z,8.36E+11,c4.xlarge,FALSE,5,2,2.084722222,,,,98.73432764,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,2966,274.2620139,2,155.7933333,9.026211349
2018-11-14T15:24:54Z,8.36E+11,c5.large,FALSE,4,0,2.007739938,,,,89.67360718,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,1396,117.8290972,2,32.78538889,5.837903199
2018-11-14T15:24:54Z,8.36E+11,m3.2xlarge,FALSE,2,2,2,,,,100,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,4656,727.08,2,708.46,10.47078401
2018-11-14T15:24:54Z,8.36E+11,m3.large,FALSE,6,0,2.53724605,,,,61.29693691,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,585,305.943,1,0.865666667,5.82455216
2018-11-14T15:24:54Z,8.36E+11,m3.xlarge,FALSE,1,1,1,,,,100,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,1164,181.04,1,177.48,9.183037687
2018-11-14T15:24:54Z,8.36E+11,m4.xlarge,FALSE,3,1,1.888888889,,,,89.04213201,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,1507,407.1777778,1,65.67666667,8.218099653
2018-11-14T15:24:54Z,8.36E+11,m5.large,FALSE,8,4,4.006944444,,,,99.95923449,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,3000,252.1947222,4,117.92,7.018750685
2018-11-14T15:24:54Z,8.36E+11,r3.2xlarge,FALSE,1,1,1,,,,100,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,5049,227.03,1,264.72,10.15419222
2018-11-14T15:24:54Z,8.36E+11,t2.large,FALSE,10,0,5.432384342,,,,73.07962076,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,900,360.2979889,2,12.91633333,9.591000421
2018-11-14T15:24:54Z,8.36E+11,t2.medium,FALSE,62,8,33.00277778,,,,78.5123978,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,3645,1397.453194,12,139.4277278,6.962775462
2018-11-14T15:24:54Z,8.36E+11,t2.medium,FALSE,1,1,1,,,,100,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,199,16.571,1,13.85766667,6.950194487
2018-11-14T15:24:54Z,8.36E+11,t2.micro,FALSE,1,1,1,,,,100,US East (N. Virginia),Windows (Amazon VPC),Shared,Standard,1,All_Upfront,50,4.161,1,3.498333333,8.450194487
