Account ID,Account Name,Instance ID,Instance Type,OS,Region,Running Hours,RI Hours,OD Hours, CPU Utilization ,Memory Utilization,Disk Utilization,Recommended Action,Recommended Instance Type 1, Recommended Instance Type 1 Estimated Savings , Recommended Instance Type 1 Projected CPU ,Recommended Instance Type 1 Projected Memory,Recommended Instance Type 1 Projected Disk,Recommended Instance Type 2, Recommended Instance Type 2 Estimated Savings , Recommended Instance Type 2 Projected CPU ,Recommended Instance Type 2 Projected Memory,Recommended Instance Type 2 Projected Disk,Recommended Instance Type 3, Recommended Instance Type 3 Estimated Savings , Recommended Instance Type 3 Projected CPU ,Recommended Instance Type 3 Projected Memory,Recommended Instance Type 3 Projected Disk
836000000000,WA Cost Labs,i-010852,c4.4xlarge,Linux/UNIX,EU (Ireland),0.073889,0,0.073889, 3.57 ,,,Modify,c4.2xlarge, $0.07 , 7.15 ,,,c4.large, $0.13 , 28.58 ,,,c4.xlarge, $0.11 , 14.29 ,,
836000000000,WA Cost Labs,i-010901,t2.large,Windows (Amazon VPC),US East (N. Virginia),329,0,329, 6.75 ,,,Modify,t2.medium, $40.31 , 6.75 ,,,t2.small, $63.47 , 13.50 ,,,t2.micro, $74.77 , 13.50 ,,
836000000000,WA Cost Labs,i-010954,t2.micro,Red Hat Enterprise Linux,US East (N. Virginia),330,0,330, 0.82 ,,,Terminate,, $51.33 ,,,,,,,,,,,,,
836000000000,WA Cost Labs,i-010985,m5.2xlarge,Red Hat Enterprise Linux,US East (N. Virginia),329,0,329, 18.00 ,,,Modify,m5.xlarge, $187.28 , 36.00 ,,,m5.large, $255.90 , 72.00 ,,,,,,,
836000000000,WA Cost Labs,i-010995,c4.4xlarge,Linux/UNIX,EU (Ireland),0.186111,0,0.186111, 12.01 ,,,Modify,c4.2xlarge, $0.18 , 24.02 ,,,c4.xlarge, $0.27 , 48.04 ,,,,,,,
836000000000,WA Cost Labs,i-011023,c3.2xlarge,Red Hat Enterprise Linux,US West (Oregon),102,0,102, 29.40 ,,,Modify,c3.xlarge, $62.05 , 58.79 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-011056,t3.small,Linux/UNIX,EU (Frankfurt),330,0,330, 3.00 ,,,Modify,t3.micro, $8.60 , 3.00 ,,,t3.nano, $12.91 , 3.00 ,,,,,,,
836000000000,WA Cost Labs,i-011075,t1.micro,Linux/UNIX,US East (N. Virginia),0.28,0,0.28, 0.83 ,,,Terminate,, $0.01 ,,,,,,,,,,,,,
836000000000,WA Cost Labs,i-011079,c4.4xlarge,Linux/UNIX,EU (Ireland),0.075278,0,0.075278, 2.93 ,,,Modify,c4.2xlarge, $0.07 , 5.85 ,,,c4.large, $0.13 , 23.42 ,,,c4.xlarge, $0.11 , 11.71 ,,
836000000000,WA Cost Labs,i-011167,c4.4xlarge,Linux/UNIX,EU (Ireland),0.138056,0,0.138056, 6.13 ,,,Modify,c4.2xlarge, $0.14 , 12.25 ,,,c4.large, $0.24 , 49.00 ,,,c4.xlarge, $0.20 , 24.50 ,,
836000000000,WA Cost Labs,i-01119,c5.2xlarge,Windows (Amazon VPC),EU (Frankfurt),1,0,1, 36.00 ,,,Modify,c5.xlarge, $0.82 , 72.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-011200,t3.small,Linux/UNIX,EU (Frankfurt),328.298333,0,328.298333, 2.00 ,,,Modify,t3.micro, $8.56 , 2.00 ,,,t3.nano, $12.84 , 2.00 ,,,,,,,
836000000000,WA Cost Labs,i-011217,c4.4xlarge,Linux/UNIX,US East (N. Virginia),0.135833,0,0.135833, 14.09 ,,,Modify,c4.2xlarge, $0.12 , 28.19 ,,,c4.xlarge, $0.18 , 56.38 ,,,,,,,
836000000000,WA Cost Labs,i-011232,m5.xlarge,Linux/UNIX,US East (N. Virginia),329,329,0, 1.00 ,,,Modify,m5.large, $-   , 2.00 ,,,,,,,,,,,,
